from/to;Binnenhof;Cafe Seven;De Transparante Broker;De Transparante Detective;Euromast;Kasteel de Haar;Koolmees, Wouter;NIXZ;Pakjesboot 12;Peter Jansen, Jan;Pizzaria Tricolore;Ponypark Slagharen;Rusty Krab
Binnenhof;0;29;46;94;23;59;26;83;88;81;97;61;31
Cafe Seven;29;0;49;30;15;94;79;95;36;83;66;61;87
De Transparante Broker;46;49;0;18;30;88;19;46;98;30;39;71;68
De Transparante Detective;94;30;18;0;96;89;51;99;63;41;44;38;43
Euromast;23;15;30;96;0;59;85;31;10;32;30;43;75
Kasteel de Haar;59;94;88;89;59;0;39;83;98;67;34;51;48
Koolmees, Wouter;26;79;19;51;85;39;0;54;68;16;70;93;58
NIXZ;83;95;46;99;31;83;54;0;30;14;78;40;93
Pakjesboot 12;88;36;98;63;10;98;68;30;0;39;64;17;94
Peter Jansen, Jan;81;83;30;41;32;67;16;14;39;0;75;80;89
Pizzaria Tricolore;97;66;39;44;30;34;70;78;64;75;0;61;30
Ponypark Slagharen;61;61;71;38;43;51;93;40;17;80;61;0;90
Rusty Krab;31;87;68;43;75;48;58;93;94;89;30;90;0
